卡牌,角色,阶段,情绪,台词
0,买,选项1,怒,哎呀{opponent}，你这价我看不懂啊！我加到{offer}，够朋友了吧？
0,买,选项1,平,别这样嘛……{offer}元，我这钱包都掏热乎了！
0,买,选项2,平,好说好说，{offer}元！咱都各退一步。
0,买,选项2,惊,我这人就是心善——{offer}元！再多真没有了！
0,买,选项3,惊,……{offer}元！我这月的饭钱都搭进去了，你可记我这份情！
0,买,选项3,平,冲你这地段，{offer}元！咱就这么定了？
1,买,选项1,平,{offer}元。这是按市价折算的数，不是压你。
1,买,选项1,平,我调整到{offer}元。理由充分，你听听。
1,买,选项2,平,{offer}元。咱们一人让一半，谁也不吃亏。
1,买,选项2,平,折中一下：{offer}元，这是个负责任的数字。
1,买,选项3,平,{offer}元……行，谁让我看上这块地了。
1,买,选项3,得意,{offer}元！爽快点，我这人从不拖泥带水。
2,买,选项1,平,我给你{offer}元，已经是给你面子了。
2,买,选项1,得意,{offer}元？我可查过账——你当年入手的时候，便宜多了哦。
2,买,选项2,平,{opponent}，做人留一线：{offer}元，别不识抬举。
2,买,选项2,得意,{offer}元！我这是拿真金白银捧你，懂？
2,买,选项3,惊,好好好！{offer}元！你这张嘴，我是真招架不住。
2,买,选项3,平,罢了，{offer}元。回头租出去我可要赚回来的。
3,买,选项1,怒,{offer}元，爱卖不卖！别等我翻脸！
3,买,选项1,怒,你敢再抬价试试？{offer}元，一口价！
3,买,选项2,怒,……{offer}元！这是极限，再磨蹭我扭头就走！
3,买,选项2,平,{offer}元。我警告你，我没耐心陪你演戏。
3,买,选项3,惊,{offer}元？！……哼，算你运气好，碰上我今天心情好。
3,买,选项3,平,{offer}元，就这个数。成不成就这一句话。
0,卖,让步低,怒,{opponent}，你这让步跟没让一样啊！做人不能这样！
0,卖,让步低,怒,我这心拔凉拔凉的……你就这么对老朋友？
0,买,让步低,怒,哎呀，你这一毛不拔的样子，可伤透我的心了！
0,买,让步低,怒,{opponent}，交情归交情，你这价也忒不实在了！
1,卖,让步低,怒,{opponent}，你这个调整毫无诚意，恕我直言。
1,卖,让步低,怒,差价还差得远。这样的报价，谈不下去。
1,买,让步低,怒,……你在考验我的算术能力？这个数不成立。
1,买,让步低,怒,各退一步才是谈判。你这是在原地踏步，{opponent}。
2,卖,让步低,怒,打发叫花子呢？！{opponent}，你这算盘珠子崩我脸上了！
2,卖,让步低,得意,就这点诚意？我看你还是回家再攒攒钱吧。
2,买,让步低,怒,啧，跟我玩这套？{opponent}，你嫩了点！
2,买,让步低,怒,就这？我看这笔买卖你是不想做了。
3,卖,让步低,怒,少来这套！你这是抢劫！我的价绝不松口！
3,卖,让步低,怒,再跟我玩这一手，咱们干脆散伙！
3,买,让步低,怒,你敢耍我？{opponent}，这价你也好意思张嘴！
3,买,让步低,怒,离谱！你就等着收那点租金过日子吧！
0,卖,让步中,惊,嚯！有点诚意嘛……不过咱还得再亲热点！
0,卖,让步中,平,有商有量，我喜欢！来，接着聊！
0,买,让步中,平,哎，这就对了嘛！买卖不成仁义在，何况这买卖快成了！
0,买,让步中,惊,你总算开窍了！{opponent}，我就说你是个明白人！
1,卖,让步中,平,这个数……可以坐下来谈了。
1,卖,让步中,平,有点意思。按这个节奏，我们能成。
1,买,让步中,平,行，这个调整我可以接受作为基础。
1,买,让步中,平,差距在缩小。{opponent}，你比刚才讲道理多了。
2,卖,让步中,平,哟，开窍了？那我也就不端着了。
2,卖,让步中,得意,这才像句话！看来你还是想做成这单的嘛。
2,买,让步中,得意,识相！{opponent}，我就知道你懂行。
2,买,让步中,平,嗯，这个数，我勉强能闻到成交的味道了。
3,卖,让步中,平,哼，总算有点像样的诚意了。继续。
3,卖,让步中,惊,……可以啊你。但我离心理价位还差一口气。
3,买,让步中,平,这还差不多。不过我的耐心也剩不多了。
3,买,让步中,惊,哟，肯出血了？{opponent}，早这样不就完了！
0,卖,让步高,惊,哎哟喂！这么爽快？！{opponent}，你可真给我面子！
0,卖,让步高,得意,哈哈，成交的味道越来越浓了！就冲这诚意，咱好好谈！
0,买,让步高,惊,好家伙！你这让步，让我的心都化了！
0,买,让步高,得意,嘿嘿，看来这块地今天是逃不出我的手心了！
1,卖,让步高,惊,……这个让步幅度超出我的预期。成交在望。
1,卖,让步高,平,很有诚意。那我也表个态——这买卖能成。
1,买,让步高,惊,这个数……很接近了，{opponent}。
1,买,让步高,平,诚意我看到了。剩下的一口气，我们分掉它。
2,卖,让步高,惊,嚯！这么大的口子都肯让？！你是真急着出手啊！
2,卖,让步高,得意,啧啧，这姿态……行，那我可就要拿捏你一下了。
2,买,让步高,惊,哟豁！大出血！{opponent}，你也有今天！
2,买,让步高,得意,这个让步很上道嘛……我的谈判眼光果然毒辣。
3,卖,让步高,惊,……哼，早这么痛快不就完了！算你识相！
3,卖,让步高,得意,看到没，跟我斗，你还嫩了点！
3,买,让步高,惊,嚯，肯让这么多了？看来你怕了我这张嘴！
3,买,让步高,得意,识相！这才是跟我做买卖该有的样子！
0,卖,成交,得意,成了！{opponent}，回头常来啊——友情价，仅此一次！
0,买,成交,得意,哈哈，爽快！以后这块地租金涨了，记得请我吃饭！
1,卖,成交,平,成交。公道的数字，体面的买卖。
1,买,成交,平,成交。这个价格，对得起你我。
2,卖,成交,得意,痛快！跟你做生意，我躺着都能赚……啊不，双赢！
2,买,成交,得意,成交！这块地到我手里，才算物尽其用！
3,卖,成交,得意,成交！早这么识相，何必浪费我口舌！
3,买,成交,得意,拿下！记住今天——你输给了真正的谈判高手！
0,卖,失败,怒,唉……买卖不成仁义在，租金的事，咱们按规矩来吧。
0,买,失败,平,哎呀，太遗憾了……租金我照付，下回再合作！
1,卖,失败,平,没谈成。可惜，但规则就是规则。
1,买,失败,平,……好吧，各按各的规矩，租金照付。
2,卖,失败,怒,不识货！这地砸你手里，你迟早后悔！
2,买,失败,怒,行，你硬气。那就收你的租金去吧，别后悔！
3,卖,失败,怒,哼！谈崩了正好，我的地凭什么贱卖！
3,买,失败,怒,散了散了！等着吧，这块地你捂不热！
